title,author,genre,length_category
Gilead,Marilynne Robinson,Fiction,average
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,average
The One Tree,Stephen R. Donaldson,American fiction,long
Rage of angels,Sidney Sheldon,Fiction,long
The Four Loves,Clive Staples Lewis,Christian life,short
The Problem of Pain,Clive Staples Lewis,Christian life,short
An Autobiography,Agatha Christie,"Authors, English",long
Empires of the Monsoon,Richard Hall,"Africa, East",long
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",long
Master of the Game,Sidney Sheldon,Adventure stories,long
If Tomorrow Comes,Sidney Sheldon,Adventure stories,long
Assassin's Apprentice,Robin Hobb,American fiction,long
Warhost of Vastmark,Janny Wurts,Fiction,long
The Once and Future King,Terence Hanbury White,Arthurian romances,long
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,average
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,average
Well of Darkness,Margaret Weis;Tracy Hickman,,long
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,average
The Little House,Philippa Gregory,Country life,average
Mystical Paths,Susan Howatch,English fiction,long
Glittering Images,Susan Howatch,English fiction,long
Glamorous Powers,Susan Howatch,Clergy,long
The Mad Ship,Robin Hobb,Fantasy fiction,long
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",long
The Reverse of the Medal,Patrick O'Brian,Adventure stories,average
Miss Marple,Agatha Christie,"Detective and mystery stories, English",average
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,long
Spares,Michael Marshall Smith,Human cloning,average
Gravity,Tess Gerritsen,Science fiction,average
The Wise Woman,Philippa Gregory,Great Britain,long
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,long
The White Album,Joan Didion,American essays,average
The Bonesetter's Daughter,Amy Tan,China,average
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,average
'Tis,Frank McCourt,Ireland,long
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,short
A Small Pinch of Weather,Joan Aiken,"Children's stories, English",average
The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,short
Koko,Peter Straub,Male friendship,long
Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,short
Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",average
Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,average
"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,short
All Families are Psychotic,Douglas Coupland,Dysfunctional families,average
Death in the Clouds,Agatha Christie,Detective and mystery stories,average
Appointment with Death,Agatha Christie,Detective and mystery stories,average
Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",average
Hercule Poirot's Christmas,Agatha Christie,Christmas stories,average
The Big Four,Agatha Christie,Detective and mystery stories,average
The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",average
They Do it with Mirrors,Agatha Christie,American fiction,average
A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",average
The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",average
Mrs McGinty's Dead,Agatha Christie,Belgians,average
Taken at the Flood,Agatha Christie,Fiction,average
The Hollow,Agatha Christie,Detective and mystery stories,average
Third Girl,Agatha Christie,Belgians,average
The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",average
The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",long
The Metaphysical Club,Louis Menand,Cambridge (Mass.),long
The illustrated man,Ray Bradbury,Fiction,short
Wilkins' Tooth,Diana Wynne Jones,Business enterprises,average
Cut,Patricia McCormick,Emotional problems,short
The Lord of the Rings,Gary Russell,Characters and characteristics in motion pictures,average
The Lord of the Rings,John Ronald Reuel Tolkien,"Fantasy fiction, English",long
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",long
Lirael,Garth Nix,Fantasy fiction,long
Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",short
Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,average
The Yiddish Policemen's Union,Michael Chabon,Fiction,long
"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,average
The Family Way,Tony Parsons,Parenthood,average
Endless Night,Agatha Christie,FICTION,average
How to be Alone,Jonathan Franzen,Literary Collections,average
The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,average
The Listerdale Mystery,Agatha Christie,Detective and mystery stories,average
The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,average
I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",short
"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,short
If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975",average
The Return of the King,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",long
The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,average
I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,short
Oh Say Can You Say?,Dr. Seuss,Children's stories,short
There's a Boy in the Girls' Bathroom,Louis Sachar,Boys,average
Microserfs,Douglas Coupland,Computer programmers,average
Miss Wyoming,Douglas Coupland,Actors,average
Where Rainbows End,Cecelia Ahern,Friendship,long
Poirot,Agatha Christie,Authors,long
The Art of The Lord of the Rings,Gary Russell,Costume,average
The Known World,Edward P. Jones,African American plantation owners,average
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,average
Naked Lunch,William S. Burroughs,Alienation (Social psychology),average
Tropic of Cancer,Henry Miller,Fiction,average
Close Range,Annie Proulx,Cowboys,average
